COMUNA,TIPO_DELITO,DIA_SEMANA,BLOQUE_HORARIO,NIVEL_RIESGO,CONFIANZA_PREDICCION,PROBABILIDAD_ALTO,PROBABILIDAD_MEDIO,PROBABILIDAD_BAJO,DELITOS_HISTORICOS
Comuna Cabecera del Llano,HURTOS,martes,TARDE,ALTO,0.9863194754005046,0.9863194754005046,0.011072795962319646,0.002607728637175609,405.0
Comuna Cabecera del Llano,HURTOS,martes,NOCHE,ALTO,0.9746713824240945,0.9746713824240945,0.02532861757590549,0.0,467.0
Comuna Cabecera del Llano,HURTOS,miércoles,MADRUGADA,ALTO,0.9672296708500361,0.9672296708500361,0.03277032914996393,0.0,161.0
Comuna Cabecera del Llano,HURTOS,miércoles,MAÑANA,ALTO,0.9849958461206164,0.9849958461206164,0.009784092466896233,0.005220061412487206,465.0
Comuna Cabecera del Llano,HURTOS,miércoles,TARDE,ALTO,0.9781382281424398,0.9781382281424398,0.00836589610432075,0.013495875753239583,425.0
Comuna Cabecera del Llano,HURTOS,miércoles,NOCHE,ALTO,0.9878803401515797,0.9878803401515797,0.01211965984842031,0.0,458.0
Comuna Cabecera del Llano,HURTOS,jueves,MADRUGADA,ALTO,0.9740611761155606,0.9740611761155606,0.02199080105495537,0.00394802282948385,201.0
Comuna Cabecera del Llano,HURTOS,jueves,MAÑANA,ALTO,0.9827574135944981,0.9827574135944981,0.013920940160034083,0.00332164624546779,441.0
Comuna Cabecera del Llano,HURTOS,jueves,TARDE,ALTO,0.9826626402614994,0.9826626402614994,0.010606827508546796,0.0067305322299538424,373.0
Comuna Cabecera del Llano,HURTOS,jueves,NOCHE,ALTO,0.9824505883750454,0.9824505883750454,0.01390195422811611,0.0036474573968384417,470.0
Comuna Cabecera del Llano,HURTOS,viernes,MADRUGADA,ALTO,0.9680499331588122,0.9680499331588122,0.023776967143565596,0.008173099697622043,324.0
Comuna Cabecera del Llano,HURTOS,viernes,MAÑANA,ALTO,0.9852776754367953,0.9852776754367953,0.011413994130796096,0.003308330432408496,471.0
Comuna Cabecera del Llano,HURTOS,viernes,TARDE,ALTO,0.9769003477191411,0.9769003477191411,0.010047552908304747,0.013052099372554266,422.0
Comuna Cabecera del Llano,HURTOS,viernes,NOCHE,ALTO,0.9907324935439603,0.9907324935439603,0.008627935835248157,0.0006395706207915421,556.0
Comuna Cabecera del Llano,HURTOS,sábado,MADRUGADA,ALTO,0.9656838192452308,0.9656838192452308,0.024404780659093156,0.009911400095675947,431.0
Comuna Cabecera del Llano,HURTOS,sábado,MAÑANA,ALTO,0.9761956876339231,0.9761956876339231,0.0057772512681770315,0.01802706109789987,418.0
Comuna Cabecera del Llano,HURTOS,sábado,TARDE,ALTO,0.9676306765451619,0.9676306765451619,0.007851644057045644,0.024517679397792543,411.0
Comuna Cabecera del Llano,HURTOS,sábado,NOCHE,ALTO,0.9782407147029479,0.9782407147029479,0.006245248666536135,0.01551403663051587,461.0
Comuna Cabecera del Llano,HURTOS,domingo,MADRUGADA,ALTO,0.9678406197993192,0.9678406197993192,0.028252260804860905,0.003907119395819867,467.0
Comuna Cabecera del Llano,HURTOS,domingo,MAÑANA,ALTO,0.9718201017842388,0.9718201017842388,0.027540327594969664,0.0006395706207915421,204.0
Comuna Cabecera del Llano,HURTOS,domingo,TARDE,ALTO,0.9734548974853706,0.9734548974853706,0.025905531893837846,0.0006395706207915421,177.0
Comuna Cabecera del Llano,HURTOS,domingo,NOCHE,ALTO,0.9692745536463737,0.9692745536463737,0.02702587771201656,0.003699568641609712,213.0
Comuna Cabecera del Llano,LESIONES,lunes,MADRUGADA,ALTO,0.6829626191715507,0.6829626191715507,0.301966577040671,0.015070803787778378,37.0
Comuna Cabecera del Llano,LESIONES,lunes,MAÑANA,ALTO,0.9463899070231468,0.9463899070231468,0.048809957174419695,0.00480013580243328,41.0
Comuna Cabecera del Llano,LESIONES,lunes,TARDE,ALTO,0.940256222566681,0.940256222566681,0.058224439372614185,0.0015193380607047555,43.0
Comuna Cabecera del Llano,LESIONES,lunes,NOCHE,ALTO,0.936756683541423,0.936756683541423,0.05902662176840558,0.00421669469017138,38.0
Comuna Cabecera del Llano,LESIONES,martes,MADRUGADA,ALTO,0.5326535868135288,0.5326535868135288,0.45121756753076353,0.016128845655707828,13.0
Comuna Cabecera del Llano,LESIONES,martes,MAÑANA,ALTO,0.9473118900401694,0.9473118900401694,0.05268810995983048,0.0,39.0
Comuna Cabecera del Llano,LESIONES,martes,TARDE,ALTO,0.9450541005497964,0.9450541005497964,0.05204205655592619,0.002903842894277241,35.0
Comuna Cabecera del Llano,LESIONES,martes,NOCHE,ALTO,0.9398806558009142,0.9398806558009142,0.05911593061199128,0.0010034135870944636,43.0
Comuna Cabecera del Llano,LESIONES,miércoles,MADRUGADA,MEDIO,0.532497581723462,0.45509583504639195,0.532497581723462,0.012406583230146054,16.0
Comuna Cabecera del Llano,LESIONES,miércoles,MAÑANA,ALTO,0.925815174855077,0.925815174855077,0.07284828580469553,0.0013365393402272922,51.0
Comuna Cabecera del Llano,LESIONES,miércoles,TARDE,ALTO,0.9546092882254246,0.9546092882254246,0.04196163998036655,0.0034290717942089786,45.0
Comuna Cabecera del Llano,LESIONES,miércoles,NOCHE,ALTO,0.9363750805598221,0.9363750805598221,0.06002189434801918,0.0036030250921589126,37.0
Comuna Cabecera del Llano,LESIONES,jueves,MADRUGADA,ALTO,0.6010692542593784,0.6010692542593784,0.38077626212646054,0.018154483614161106,38.0
Comuna Cabecera del Llano,LESIONES,jueves,MAÑANA,ALTO,0.9576393175644757,0.9576393175644757,0.042360682435524113,0.0,49.0
Comuna Cabecera del Llano,LESIONES,jueves,TARDE,ALTO,0.9539826631168731,0.9539826631168731,0.04601733688312695,0.0,58.0
Comuna Cabecera del Llano,LESIONES,jueves,NOCHE,ALTO,0.9425035277136928,0.9425035277136928,0.056493058699212825,0.0010034135870944636,43.0
Comuna Cabecera del Llano,LESIONES,viernes,MADRUGADA,ALTO,0.7053309055419266,0.7053309055419266,0.26939770006459723,0.025271394393476237,38.0
Comuna Cabecera del Llano,LESIONES,viernes,MAÑANA,ALTO,0.941856142273327,0.941856142273327,0.05814385772667295,0.0,45.0
